Root Event Code,Root Event Count,Root Event Name,Urls,Event Code Name,Event Code Count
04,127,"CONSULT
",['http://www.dailystar.com.lb/News/Lebanon-News/2014/Feb-24/248275-jolie-in-lebanon-to-meet-syrian-refugee-families.ashx\n'],"Make a visit
",61
19,3,"FIGHT
",['http://www.huffingtonpost.com/2014/02/22/impact-news-round-up_n_4830509.html?utm_hp_ref=impact\n'],"Occupy territory
",3
04,127,"CONSULT
",['http://www.independent.ie/world-news/asia-pacific/angelinas-surprise-visit-highlights-plight-of-syrian-refugee-children-30038089.html\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.independent.ie/world-news/asia-pacific/angelinas-surprise-visit-highlights-plight-of-syrian-refugee-children-30038089.html\n'],"Make a visit
",61
04,127,"CONSULT
",['http://english.farsnews.com/newstext.aspx?nn=13921205000335\n'],"Make a visit
",61
01,3,"MAKE PUBLIC STATEMENT
",['http://www.binghamtonhomepage.com/story/d/story/angelina-jolie-visited-syrian-refugees/20558/SWXLYUJgFUWvEntfa5LA_A\n'],"Make statement, not specified below
",3
02,9,"APPEAL
",['http://www.dailystar.com.lb/News/Lebanon-News/2014/Feb-25/248398-jolie-lauds-lebanese-generosity.ashx\n'],"Appeal to others to meet or negotiate
",1
03,13,"EXPRESS INTENT TO COOPERATE
",['http://www.arabnews.com/news/530711\n'],"Express intent to meet or negotiate
",12
04,127,"CONSULT
",['http://www.khaleejtimes.com/kt-article-display-1.asp?section=middleeast&xfile=data/middleeast/2014/February/middleeast_February269.xml&c=TEc8E-pRhozbSJ66FQGCQbBT4_NYZ79lvRF9ijDwnGg&mkt=en-us\n'],"Consult, not specified below
",13
04,127,"CONSULT
",['http://blog.sfgate.com/dailydish/2014/02/24/angelina-jolie-makes-surprise-trip-to-meet-syrian-refugees/\n'],"Consult, not specified below
",13
04,127,"CONSULT
",['http://www.iol.co.za/news/world/jolie-visits-syrian-children-in-lebanon-1.1651989\n'],"Make a visit
",61
04,127,"CONSULT
",['http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2014-02-24-Syria/id-531f7931cbb84cd0a6c7a812bc9c0c37\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.panarmenian.net/eng/news/176212/Jolie_visits_Syrian_refugee_children_in_Lebanon\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.itn.co.uk/World/96327/angelina-jolie-makes-humanitarian-trip-to-lebanon\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.columbian.com/news/2014/feb/24/jolie-visits-refugee-children-of-war-torn-syria-in/\n'],"Make a visit
",61
04,127,"CONSULT
",['http://blog.sfgate.com/dailydish/2014/02/24/angelina-jolie-makes-surprise-trip-to-meet-syrian-refugees/\n'],"Make a visit
",61
04,127,"CONSULT
",['http://kdwn.com/2014/02/24/angelina-jolie-visits-syrian-children-in-lebanon/\n'],"Host a visit
",51
04,127,"CONSULT
",['http://hosted2.ap.org/APDEFAULT/cae69a7523db45408eeb2b3a98c0c9c5/Article_2014-02-24-Syria/id-531f7931cbb84cd0a6c7a812bc9c0c37\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.philstar.com/world/2014/02/25/1294361/angelina-jolie-visits-syrian-children-lebanon\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.dailymail.co.uk/tvshowbiz/article-2566619/Angelina-Jolie-makes-surprise-visit-Lebanon-humanitarian-trip.html\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.therepublic.com/view/story/541ab8b3fb8247dcb4752389b69725af/ML--Syria\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.columbian.com/news/2014/feb/24/jolie-visits-refugee-children-of-war-torn-syria-in/\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.eveningtelegraph.co.uk/news/uk-world/jolie-visits-syrian-child-refugees-1.238726\n'],"Host a visit
",51
04,127,"CONSULT
",['http://web.orange.co.uk/article/news/aneglina_jolie_meets_syrian_refugees_in_lebanon\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.southernminn.com/ap/international/article_af3affb4-01e5-50bf-a204-11ae28b6f6f3.html\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.dawn.com/news/1089297/jolie-meets-syrian-refugee-children-on-visit-to-lebanon\n'],"Host a visit
",51
04,127,"CONSULT
",['http://news.yahoo.com/jolie-meets-syria-refugee-children-visit-lebanon-005230180.html\n'],"Host a visit
",51
04,127,"CONSULT
",['http://nz.news.yahoo.com/a/-/top-stories/21680545/aid-agencies-call-public-to-sign-online-petition/\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.nst.com.my/latest/jolie-meets-syria-refugee-children-on-visit-to-lebanon-1.492192?cache=%253Fpage%253D0%252F7.197525%2F7.16010%3Fpage%3D0%2F7.256566%2F7.320411%2F7.320411%2F7.454177%2F7.454177%2F7.454177%2F7.494333%2F7.541994%2F7.541994%2F7.557\n'],"Host a visit
",51
04,127,"CONSULT
",['http://www.itn.co.uk/World/96327/angelina-jolie-makes-humanitarian-trip-to-lebanon\n'],"Engage in negotiation
",2
07,4,"PROVIDE AID
",['http://www.digitaljournal.com/news/world/angelina-jolie-visits-with-displaced-syrian-refugee-children/article/372842\n'],"Provide humanitarian aid
",2
03,13,"EXPRESS INTENT TO COOPERATE
",['http://www.binghamtonhomepage.com/story/d/story/angelina-jolie-visited-syrian-refugees/20558/SWXLYUJgFUWvEntfa5LA_A\n'],"Express intent to meet or negotiate
",12
04,127,"CONSULT
",['http://www.eonline.com/news/514049/angelina-jolie-visits-syrian-refugee-children-in-lebanon-see-the-pic\n'],"Consult, not specified below
",13
04,127,"CONSULT
",['http://web.orange.co.uk/article/news/aneglina_jolie_meets_syrian_refugees_in_lebanon\n'],"Make a visit
",61
04,127,"CONSULT
",['http://en.europeonline-magazine.eu/unhcr-envoy-angelina-jolie-urges-aid-for-syrian-children_322199.html\n'],"Host a visit
",51
04,127,"CONSULT
","['Zaman al-Wasl website, Doha/BBC Monitoring/(c) BBC\n']","Host a visit
",51
04,127,"CONSULT
",['http://www.talktalk.co.uk/news/world/article/jolie-visits-syrian-child-refugees/120837/\n'],"Host a visit
",51
03,13,"EXPRESS INTENT TO COOPERATE
",['http://al-shorfa.com/en_GB/articles/meii/newsbriefs/2014/02/24/newsbrief-12?change_locale=true&c=O1b4-cJcQFe6mXpJyfIIbEo9hMlonCp70UiaM1sNJQs&mkt=en-us\n'],"Express intent to provide matyerial aid, not specified below
",1
04,127,"CONSULT
",['http://www.petra.gov.jo/Public_News/Nws_NewsDetails.aspx?Site_Id=1&lang=2&NewsID=141419&CatID=13&Type=Home&GType=1\n'],"Host a visit
",51
05,8,"ENGAGE IN DIPLOMATIC COOPERATION
",['http://sana.sy/eng/21/2014/02/24/529676.htm\n'],"Praise or endorse
",6
04,127,"CONSULT
",['http://en.europeonline-magazine.eu/unhcr-envoy-angelina-jolie-urges-aid-for-syrian-children_322199.html\n'],"Make a visit
",61
04,127,"CONSULT
",['http://news.xinhuanet.com/english/world/2014-02/25/c_126184417.htm\n'],"Make a visit
",61
04,127,"CONSULT
",['http://blog.sfgate.com/dailydish/2014/02/24/angelina-jolie-makes-surprise-trip-to-meet-syrian-refugees/\n'],"Host a visit
",51
06,2,"ENGAGE IN MATERIAL COOPERATION
",['http://www.dawn.com/news/1089297/jolie-meets-syrian-refugee-children-on-visit-to-lebanon\n'],"Engage in material cooperation, not specified below
",2
07,4,"PROVIDE AID
",['http://www.theguardian.com/law/2014/feb/24/wrongful-prosecutions-refugee-woe\n'],"Provide humanitarian aid
",2
12,5,"REJECT
",['http://au.ibtimes.com/articles/540363/20140225/human-rights-amnesty-international-tony-abbott-australia.htm\n'],"Reject, not specified below
",5
12,5,"REJECT
",['http://www.ibtimes.co.in/articles/540363/20140225/human-rights-amnesty-international-tony-abbott-australia.htm\n'],"Reject, not specified below
",5
02,9,"APPEAL
",['http://au.ibtimes.com/articles/540363/20140225/human-rights-amnesty-international-tony-abbott-australia.htm\n'],"Appeal to yield
",2
02,9,"APPEAL
",['http://www.ibtimes.co.in/articles/540363/20140225/human-rights-amnesty-international-tony-abbott-australia.htm\n'],"Appeal to yield
",2
05,8,"ENGAGE IN DIPLOMATIC COOPERATION
",['http://www.kens5.com/news/world/242437511.html\n'],"Engage in diplomatic cooperation, not specified below
",1
19,3,"FIGHT
",['http://petra.gov.jo/Public_News/Nws_NewsDetails.aspx?Site_Id=1&lang=2&NewsID=141331&CatID=-1\n'],"Occupy territory
",3
19,3,"FIGHT
","['Ammun News website, Amman/BBC Monitoring/(c) BBC\n']","Occupy territory
",3
01,3,"MAKE PUBLIC STATEMENT
",['http://www.arabnews.com/news/530711\n'],"Make statement, not specified below
",3
04,127,"CONSULT
",['http://www.therepublic.com/view/story/541ab8b3fb8247dcb4752389b69725af/ML--Syria\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.philstar.com/world/2014/02/25/1294361/angelina-jolie-visits-syrian-children-lebanon\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.dailymail.co.uk/tvshowbiz/article-2566619/Angelina-Jolie-makes-surprise-visit-Lebanon-humanitarian-trip.html\n'],"Make a visit
",61
04,127,"CONSULT
",['http://bostonherald.com/inside_track/celebrity_news/2014/02/angelina_jolie_visits_syrian_children_in_lebanon\n'],"Make a visit
",61
04,127,"CONSULT
",['http://news.yahoo.com/jolie-meets-syria-refugee-children-visit-lebanon-005230180.html\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.southernminn.com/ap/international/article_af3affb4-01e5-50bf-a204-11ae28b6f6f3.html\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.zawya.com/story/Jolie_in_Lebanon_to_meet_Syrian_refugee_families-DS24022014_dsart*248275/\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.eveningtelegraph.co.uk/news/uk-world/jolie-visits-syrian-child-refugees-1.238726\n'],"Make a visit
",61
04,127,"CONSULT
",['http://nz.news.yahoo.com/a/-/top-stories/21680545/aid-agencies-call-public-to-sign-online-petition/\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.dawn.com/news/1089297/jolie-meets-syrian-refugee-children-on-visit-to-lebanon\n'],"Make a visit
",61
04,127,"CONSULT
",['http://www.itn.co.uk/World/96327/angelina-jolie-makes-humanitarian-trip-to-lebanon\n'],"Host a visit
",51
08,13,"YIELD
",['http://www.neurope.eu/article/commissioner-georgieva-welcomes-un-resolution-syria\n'],"Yield, not specified below 
",12
04,127,"CONSULT
","['Zaman al-Wasl website, Doha/BBC Monitoring/(c) BBC\n']","Make a visit
",61
04,127,"CONSULT
",['http://www.petra.gov.jo/Public_News/Nws_NewsDetails.aspx?Site_Id=1&lang=2&NewsID=141419&CatID=13&Type=Home&GType=1\n'],"Make a visit
",61
04,127,"CONSULT
",['http://news.xinhuanet.com/english/world/2014-02/25/c_126184417.htm\n'],"Host a visit
",51
05,8,"ENGAGE IN DIPLOMATIC COOPERATION
",['http://www.independent.ie/world-news/asia-pacific/angelinas-surprise-visit-highlights-plight-of-syrian-refugee-children-30038089.html\n'],"Rally support on behalf of
",1
04,127,"CONSULT
",['http://radaronline.com/exclusives/2014/02/angelina-jolie-syrian-refugee-camp/\n'],"Consult, not specified below
",13
04,127,"CONSULT
",['http://www.southernminn.com/ap/international/article_af3affb4-01e5-50bf-a204-11ae28b6f6f3.html\n'],"Consult, not specified below
",13
02,9,"APPEAL
",['http://en.cihan.com.tr/news/US-based-Turkish-NGOs-launch-aid-campaign-for-Syrian-refugees_1650-CHMTM1MTY1MC80\n'],"Appeal, not specified below
",3
